State,District Name,School Name
Texas,KILLEEN ISD,Eastern Hills Middle
Texas,KILLEEN ISD,Palo Alto Middle
Texas,KILLEEN ISD,Liberty Hill Middle
Texas,KILLEEN ISD,Live Oak Ridge Middle
Texas,KILLEEN ISD,Union Grove Middle
Texas,KILLEEN ISD,Audie Murphy Middle
Texas,KILLEEN ISD,Charles E Patterson Middle
Texas,KILLEEN ISD,Roy J Smith Middle
Texas,KILLEEN ISD,El Alter Learning Center
Texas,KILLEEN ISD,Clifton Park Elementary
Texas,KILLEEN ISD,East Ward Elementary
Texas,KILLEEN ISD,Harker Heights Elementary
Texas,KILLEEN ISD,Meadows Elementary
Texas,KILLEEN ISD,Peebles Elementary
Texas,KILLEEN ISD,Pershing Park Elementary
Texas,KILLEEN ISD,Sugar Loaf Elementary
Texas,KILLEEN ISD,West Ward Elementary
Texas,KILLEEN ISD,Bellaire Elementary
Texas,KILLEEN ISD,Nolanville Elementary
Texas,KILLEEN ISD,Clarke Elementary
Texas,KILLEEN ISD,Duncan Elementary
Texas,KILLEEN ISD,Hay Branch Elementary
Texas,KILLEEN ISD,Willow Springs Elementary
Texas,KILLEEN ISD,Mountain View Elementary
Texas,KILLEEN ISD,Reeces Creek Elementary
Texas,KILLEEN ISD,Clear Creek Elementary
Texas,KILLEEN ISD,Cedar Valley Elementary
Texas,KILLEEN ISD,Brookhaven Elementary
Texas,KILLEEN ISD,Venable Village Elementary
Texas,KILLEEN ISD,Trimmier Elementary
Texas,KILLEEN ISD,Montague Village Elementary
Texas,KILLEEN ISD,Maxdale Elementary
Texas,KILLEEN ISD,Ira Cross Jr Elementary
Texas,KILLEEN ISD,Iduma Elementary
Texas,KILLEEN ISD,Oveta Culp Hobby Elementary
Texas,KILLEEN ISD,Timber Ridge Elementary
Texas,KILLEEN ISD,Saegert Elementary
Texas,KILLEEN ISD,Skipcha Elementary
Texas,KILLEEN ISD,Richard E Cavazos Elementary
Texas,KILLEEN ISD,Haynes Elementary
Texas,KILLEEN ISD,Dr Joseph A Fowler Elementary
Texas,KILLEEN ISD,Alice W Douse Elementary
Texas,ROGERS ISD,Rogers High School 
Texas,ROGERS ISD,Rogers Middle
Texas,ROGERS ISD,Bell County Juvenile Justice Alternative Education Programs
Texas,ROGERS ISD,Bell County Disciplinary Alternative Education Program
Texas,ROGERS ISD,Rogers Elementary
Texas,SALADO ISD,Salado High School 
Texas,SALADO ISD,Bell Co Juvenile Justice Alternative Education Programs
Texas,SALADO ISD,Bell County Disciplinary Alternative Education Program
Texas,SALADO ISD,Salado Int
Texas,SALADO ISD,Salado Junior High
Texas,SALADO ISD,Thomas Arnold Elementary
Texas,TEMPLE ISD,Temple High School 
Texas,TEMPLE ISD,Wheatley Alternative Education Center
Texas,TEMPLE ISD,Bell Co Juvenile Justice Alternative Education Programs
Texas,TEMPLE ISD,Fred W Edwards Academy Aec
Texas,TEMPLE ISD,Lamar Middle
Texas,TEMPLE ISD,Travis Science Academy
Texas,TEMPLE ISD,Bonham Middle
Texas,TEMPLE ISD,Meridith-Dunbar Early Childhood Academy
Texas,TEMPLE ISD,Cater Elementary
Texas,TEMPLE ISD,Jefferson Elementary
Texas,TEMPLE ISD,Scott Elementary
Texas,TEMPLE ISD,Thornton Elementary
Texas,TEMPLE ISD,Western Hills Elementary
Texas,TEMPLE ISD,Raye-Allen Elementary
Texas,TEMPLE ISD,Kennedy-Powell Elementary
Texas,TEMPLE ISD,Hector P Garcia Elementary
Texas,TEMPLE ISD,Scott & White Hospital
Texas,TROY ISD,Troy High School 
Texas,TROY ISD,Raymond Mays Middle
Texas,TROY ISD,Troy Juvenile Justice Alternative Education Programs
Texas,TROY ISD,Troy Elementary
Texas,TROY ISD,Edna Bigham Mays Elementary
Texas,POR VIDA ACADEMY,Por Vida Academy Charter High School 
Texas,POR VIDA ACADEMY,Corpus Christi College Prep High School 
Texas,POR VIDA ACADEMY,Cesar E Chavez Academy
Texas,GEORGE GERVIN ACADEMY,George Gervin Academy
Texas,GEORGE GERVIN ACADEMY,Ruth Jones Mcclendon Middle
Texas,NEW FRONTIERS PUBLIC SCHOOLS INC,Frank L Madla Early College High School 
Texas,NEW FRONTIERS PUBLIC SCHOOLS INC,Frank L Madla Accelerated Collegiate Academy
Texas,SCHOOL OF EXCELLENCE IN EDUCATION,Milton B Lee Academy Of Science & Engineering
Texas,SCHOOL OF EXCELLENCE IN EDUCATION,Dr Paul S Saenz Junior High
Texas,SCHOOL OF EXCELLENCE IN EDUCATION,Dr Harmon W Kelley Elementary
Texas,SCHOOL OF EXCELLENCE IN EDUCATION,Dr David C Walker Elementary
Texas,SOUTHWEST PREPARATORY SCHOOL,Southwest Preparatory School
Texas,SOUTHWEST PREPARATORY SCHOOL,Southwest Preparatory Southeast Campus
Texas,SOUTHWEST PREPARATORY SCHOOL,Southwest Preparatory School-Northwest
Texas,SOUTHWEST PREPARATORY SCHOOL,New Directions
Texas,SOUTHWEST PREPARATORY SCHOOL,Southwest Prep Northwest Elementary
Texas,SOUTHWEST PREPARATORY SCHOOL,Seguin Elementary
Texas,INSPIRE ACADEMIES,Jhw Inspire Academy - Afton Oaks
Texas,INSPIRE ACADEMIES,Jhw Inspire Academy - Hays County
Texas,INSPIRE ACADEMIES,Jhw Inspire Academy - Granbury
Texas,INSPIRE ACADEMIES,Jhw Inspire Academy - Rockdale
Texas,INSPIRE ACADEMIES,Anne Frank Inspire Academy
Texas,INSPIRE ACADEMIES,Jhw Inspire Academy - Meridell
Texas,INSPIRE ACADEMIES,Jhw Inspire Academy - Williams House
Texas,INSPIRE ACADEMIES,Jhw Inspire Academy - Legacy Ranch
Texas,INSPIRE ACADEMIES,Jhw Inspire Academy - Crockett
Texas,INSPIRE ACADEMIES,Jhw Inspire Academy - Bell County
Texas,BEXAR COUNTY ACADEMY,Bexar County Academy
Texas,POSITIVE SOLUTIONS CHARTER SCHOOL,Positive Solutions Charter
Texas,HERITAGE ACADEMY,Heritage Academy Of Windcrest
Texas,HERITAGE ACADEMY,Heritage Academy Of Del Rio
Texas,HERITAGE ACADEMY,Heritage Academy
Texas,HERITAGE ACADEMY,Heritage Academy Of San Antonio
Texas,SAN ANTONIO SCHOOL FOR INQUIRY & CREATIVITY,San Antonio School For Inquiry & Creativity
Texas,SAN ANTONIO SCHOOL FOR INQUIRY & CREATIVITY,Monticello
Texas,JUBILEE ACADEMIES,Athlos Leadership Academy
Texas,JUBILEE ACADEMIES,Athlos Leadership Academy - Premier
Texas,JUBILEE ACADEMIES,Jubilee - Lake View University Prep
Texas,JUBILEE ACADEMIES,Highland Park Gifted And Talented Academy
Texas,JUBILEE ACADEMIES,Kingsway Leadership Academy
Texas,JUBILEE ACADEMIES,Living Way Leadership Academy
Texas,JUBILEE ACADEMIES,Harlingen Leadership Academy
Texas,JUBILEE ACADEMIES,Wells Branch Leadership Academy
Texas,JUBILEE ACADEMIES,Athlos Leadership Academy - Brownsville
Texas,JUBILEE ACADEMIES,Jubilee Leadership Academy
Texas,LIGHTHOUSE CHARTER SCHOOL,Lighthouse Charter School - B Campus
Texas,LIGHTHOUSE CHARTER SCHOOL,Lighthouse Charter School
Texas,KIPP SAN ANTONIO,Kipp University Prep High School 
Texas,KIPP SAN ANTONIO,Kipp Aspire Academy
Texas,KIPP SAN ANTONIO,Kipp Camino Academy
Texas,KIPP SAN ANTONIO,Kipp Poder Academy
Texas,KIPP SAN ANTONIO,Kipp Un Mundo Dual Language Academy
Texas,KIPP SAN ANTONIO,Kipp Esperanza Dual Language Academy
Texas,SCHOOL OF SCIENCE AND TECHNOLOGY,School Of Science And Technology
Texas,SCHOOL OF SCIENCE AND TECHNOLOGY,School Of Science And Technology - Alamo
Texas,SCHOOL OF SCIENCE AND TECHNOLOGY,School Of Science And Technology Houston
Texas,SCHOOL OF SCIENCE AND TECHNOLOGY,School Of Science And Technology Excellence
Texas,HARMONY SCIENCE ACAD (SAN ANTONIO),Harmony Science Acad (San Antonio)
Texas,HARMONY SCIENCE ACAD (SAN ANTONIO),Harmony School Of Innovation - San Antonio
Texas,HARMONY SCIENCE ACAD (SAN ANTONIO),Harmony Science Academy - Laredo
Texas,HARMONY SCIENCE ACAD (SAN ANTONIO),Harmony School Of Innovation - Laredo
Texas,HARMONY SCIENCE ACAD (SAN ANTONIO),Harmony Science Academy - Brownsville
Texas,HARMONY SCIENCE ACAD (SAN ANTONIO),Harmony School Of Excellence - San Antonio
Texas,HARMONY SCIENCE ACAD (SAN ANTONIO),Harmony School Of Innovation - Brownsville
Texas,HARMONY SCIENCE ACAD (SAN ANTONIO),Harmony School Of Excellence - Laredo
Texas,BROOKS ACADEMY OF SCIENCE AND ENGINEERING,Brooks Academy Of Science And Engineering
Texas,BROOKS ACADEMY OF SCIENCE AND ENGINEERING,Brooks Estrella Academy
Texas,BROOKS ACADEMY OF SCIENCE AND ENGINEERING,Brooks Academy Lonestar
Texas,BROOKS ACADEMY OF SCIENCE AND ENGINEERING,Brooks Academy Oaks
Texas,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,School Of Science And Technology Discovery
Texas,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,School Of Science And Technology Corpus Christi
Texas,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,School Of Science And Technology Advancement
Texas,HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,Henry Ford Academy Alameda School For Art + Design
Texas,BASIS TEXAS,Basis San Antonio- Shavano Campus
Texas,BASIS TEXAS,Basis San Antonio- Primary North Central Campus
Texas,BASIS TEXAS,Basis San Antonio Primary- Medical Center Campus
Texas,GREAT HEARTS TEXAS,Great Hearts Monte Vista
Texas,GREAT HEARTS TEXAS,Great Hearts Monte Vista North
